mechanism,metric,n_pairs,mean_diff,ci_low,ci_high,p_perm,p_holm
C2_uncertainty,unnecessary_takeovers,165,-0.09696969696969697,-0.5333333333333333,0.3333333333333333,0.6791,0.6791
C3_intent,unnecessary_takeovers,165,0.2545454545454545,-0.15757575757575756,0.6606060606060606,0.2415,0.483
C4_request,unnecessary_takeovers,165,0.3333333333333333,-0.07878787878787878,0.7274242424242402,0.117,0.35100000000000003
C5_thrifty,unnecessary_takeovers,165,1.3636363636363635,0.9151515151515152,1.8181818181818181,0.0,0.0
C6_full,unnecessary_takeovers,165,-0.3696969696969697,-0.7818181818181819,0.03636363636363636,0.087,0.348
HG_DAgger,unnecessary_takeovers,165,0.6545454545454545,0.006060606060606061,1.3818181818181818,0.0621,0.3105
C2_uncertainty,precision,165,-0.002788530148167398,-0.01744853179418521,0.01197235875288254,0.7103,1.0
C3_intent,precision,165,-0.005286652996596911,-0.018781348329658845,0.008449937954301406,0.4462,1.0
C4_request,precision,165,-0.01801625652735096,-0.031386491730932435,-0.004210684986484377,0.0109,0.0436
C5_thrifty,precision,165,-0.032734189733693804,-0.04605131083424325,-0.019336645698061407,0.0,0.0
C6_full,precision,165,0.003222324466603047,-0.010673002173290863,0.01785178433828979,0.6591,1.0
HG_DAgger,precision,165,-0.04177955853048596,-0.06424013992130496,-0.020279791982998657,0.0001,0.0005
C2_uncertainty,recall,165,0.00011489706277513055,-0.001108314049404851,0.0014300023483233342,0.8795,1.0
C3_intent,recall,165,-9.345830320532664e-05,-0.0016947105709842225,0.0015176796242651301,0.9195,1.0
C4_request,recall,165,0.0006730902935507559,-0.0006038617128003876,0.0021156549934467973,0.366,1.0
C5_thrifty,recall,165,0.007675055832702777,0.005008694745059493,0.010518659936997011,0.0,0.0
C6_full,recall,165,0.0004047143875814938,-0.0005349689458518848,0.0015931558363968265,0.4816,1.0
HG_DAgger,recall,165,-0.08122676700740569,-0.1046350443267362,-0.057819176545140204,0.0,0.0
C2_uncertainty,trust_sq_error,165,0.003757447459728651,-0.007935785529926524,0.015660183423633265,0.5368,1.0
C3_intent,trust_sq_error,165,0.004528328845322155,-0.008790504555291408,0.017368373570541155,0.4987,1.0
C4_request,trust_sq_error,165,0.0037281060224568833,-0.007401386453016039,0.015552492789889787,0.529,1.0
C5_thrifty,trust_sq_error,165,0.03007236986032773,0.015953579298158035,0.04400169839580193,0.0,0.0
C6_full,trust_sq_error,165,-0.0018844094001551864,-0.013831957188256212,0.01017677049144571,0.7546,1.0
HG_DAgger,trust_sq_error,165,-0.051902351019140175,-0.0640173944297808,-0.03987814273203824,0.0,0.0
C2_uncertainty,gain_per_100_control,165,0.0014027929725459118,-0.009341144758286478,0.012243451410108134,0.7975,1.0
C3_intent,gain_per_100_control,165,-0.00045537359968593943,-0.009707052299605544,0.008698228787491925,0.9271,1.0
C4_request,gain_per_100_control,165,0.010445190120342906,0.0001699188784160174,0.02051189941714426,0.0451,0.1353
C5_thrifty,gain_per_100_control,165,-0.018829879087855786,-0.028468090023169777,-0.008634762500864295,0.0002,0.0012000000000000001
C6_full,gain_per_100_control,165,0.014493662175449309,0.003322800591679793,0.025429595707205738,0.0098,0.049
HG_DAgger,gain_per_100_control,165,0.0237365727873531,0.003876559086474297,0.042835260344020326,0.0166,0.0664
