n,mean,ci_low,ci_high,p_perm,metric,mechanism,p_holm_within_metric
33,0.010445190120342902,-0.0007282771799548963,0.022097665443101374,0.0839458027098645,gain_per_100_control,C4_request,0.2518374081295935
33,-0.018829879087855786,-0.027852560728402382,-0.010078319643490152,0.00024998750062496874,gain_per_100_control,C5_thrifty,0.0014999250037498126
33,0.014493662175449304,0.0023832387717503812,0.02696100450236199,0.023498825058747064,gain_per_100_control,C6_full,0.09399530023498825
33,0.023736572787353118,0.0083293323355325,0.03906013460547559,0.006899655017249137,gain_per_100_control,HG_DAgger,0.034498275086245686
33,0.0,0.0,0.0,1.0,requests,C2_uncertainty,1.0
33,0.0,0.0,0.0,1.0,requests,C3_intent,1.0
33,22.09090909090909,21.345454545454544,22.83651515151515,4.999750012499375e-05,requests,C4_request,0.0002999850007499625
33,28.67878787878788,26.175757575757576,31.448636363636357,4.999750012499375e-05,requests,C5_thrifty,0.0002999850007499625
33,22.272727272727273,21.775757575757577,22.72121212121212,4.999750012499375e-05,requests,C6_full,0.0002999850007499625
33,0.0,0.0,0.0,1.0,requests,HG_DAgger,1.0
